CustomerID,Recency,Frequency,Monetary,Segment,R_Score,F_Score,M_Score,RFM_Numeric
17270,1461,1,2079.924646507441,Inactive,1,1,2,4
10860,1460,1,490.80104105107716,Inactive,1,1,1,3
15390,1012,2,6810.6690667347275,At-Risk,2,4,4,10
15191,1460,1,7542.108799557937,Inactive,1,1,4,6
15734,1459,1,3192.17907567619,Inactive,1,1,3,5
16265,94,2,7592.098490770987,VIP,4,4,4,12
10466,1459,1,2151.283055679185,Inactive,1,1,2,4
14426,352,3,7959.594287087968,VIP,3,4,4,11
15578,62,2,3916.2230217253377,VIP,4,4,3,11
18322,1458,1,2959.6203996563913,Inactive,1,1,3,5
11685,1458,1,1937.8107431860274,Inactive,1,1,2,4
10769,805,3,4899.5780335230975,At-Risk,2,4,4,10
16949,1223,3,921.4911835026682,At-Risk,1,4,1,6
12433,1002,2,2850.7363962728464,At-Risk,2,4,3,9
15311,1456,1,3312.67778400248,Inactive,1,1,3,5
15051,883,2,1883.7164827826373,At-Risk,2,4,2,8
16420,475,3,5495.261811529999,VIP,3,4,4,11
11184,352,3,3297.588932251355,VIP,3,4,3,10
14555,960,3,8857.85374293965,At-Risk,2,4,4,10
13385,1455,1,4896.075066066967,Inactive,1,1,4,6
16396,255,2,9191.853907638617,VIP,4,4,4,12
18666,1156,2,7346.02749566033,At-Risk,1,4,4,9
19274,976,2,6203.683761777577,At-Risk,2,4,4,10
12558,1454,1,4762.655655333516,Inactive,1,1,3,5
17849,1453,1,4282.330406855879,Inactive,1,1,3,5
12047,1453,1,1237.2930193441728,Inactive,1,1,2,4
12747,1453,1,915.4319522559672,Inactive,1,1,1,3
19167,1453,1,1576.1277077713228,Inactive,1,1,2,4
19998,1452,1,7665.167455690847,Inactive,1,1,4,6
10189,1452,1,1784.674312388116,Inactive,1,1,2,4
12734,953,2,3528.7267445037405,At-Risk,2,4,3,9
13005,314,2,13272.948525130425,VIP,3,4,4,11
14658,626,2,5898.0743660755215,VIP,3,4,4,11
11899,1451,1,2507.942468154816,Inactive,1,1,2,4
17734,1451,1,2723.533354344427,Inactive,1,1,3,5
11267,1450,1,728.0003853629842,Inactive,1,1,1,3
11528,1450,1,1669.6912998219327,Inactive,1,1,2,4
13556,1450,1,847.1355307627341,Inactive,1,1,1,3
13890,1449,1,2391.687874578264,Inactive,1,1,2,4
18838,1449,1,1064.809137099053,Inactive,1,1,2,4
15393,1449,1,3968.3540730430113,Inactive,1,1,3,5
18792,452,2,11411.568377492165,VIP,3,4,4,11
18433,823,3,3988.13749751072,At-Risk,2,4,3,9
17513,1448,1,292.95341258084574,Inactive,1,1,1,3
12612,1448,1,5290.750129480533,Inactive,1,1,4,6
17041,1199,2,1083.3375356078227,At-Risk,1,4,2,7
19555,266,3,6062.29991419472,VIP,4,4,4,12
16235,1447,1,2287.7624827496684,Inactive,1,1,2,4
15486,1307,2,8921.853562025195,At-Risk,1,4,4,9
17099,819,3,2389.8747616257933,At-Risk,2,4,2,8
19670,1446,1,973.4664691289955,Inactive,1,1,2,4
10775,821,2,3111.9730239729024,At-Risk,2,4,3,9
18226,1445,1,1683.957400631299,Inactive,1,1,2,4
13152,1445,1,8194.001406038466,Inactive,1,1,4,6
11585,1445,1,3053.9090356784423,Inactive,1,1,3,5
13943,1444,1,4281.487452455043,Inactive,1,1,3,5
17555,1444,1,2889.827651519301,Inactive,1,1,3,5
13073,1444,1,332.13288202096226,Inactive,1,1,1,3
11021,1444,1,3904.4486166228053,Inactive,1,1,3,5
13843,1443,1,381.4153785381568,Inactive,1,1,1,3
17989,1443,1,3608.3888679034435,Inactive,1,1,3,5
19692,1144,2,6602.482133120422,At-Risk,1,4,4,9
16873,1442,1,17.225162354625088,Inactive,1,1,1,3
15675,745,2,8121.13411788382,At-Risk,2,4,4,10
10161,769,2,3628.558548691139,At-Risk,2,4,3,9
14297,1442,1,1998.0451063869375,Inactive,1,1,2,4
10995,1441,1,177.47976359886138,Inactive,1,1,1,3
17629,861,2,4243.621941655547,At-Risk,2,4,3,9
19467,470,2,3120.9351201245336,VIP,3,4,3,10
11016,1440,1,4548.482279197112,Inactive,1,1,3,5
17869,180,2,3528.923448740156,VIP,4,4,3,11
16439,624,2,1760.6671510677588,Loyal,3,4,2,9
17892,1439,1,6312.753349291206,Inactive,1,1,4,6
16863,1439,1,5132.484473501978,Inactive,1,1,4,6
17916,1439,1,2955.4151703382995,Inactive,1,1,3,5
18529,1439,1,36.99753346981632,Inactive,1,1,1,3
10878,1438,1,1887.0275186264644,Inactive,1,1,2,4
19268,1438,1,2960.8266334774266,Inactive,1,1,3,5
14887,88,2,11514.272766430006,VIP,4,4,4,12
14859,1437,1,1765.9976964331927,Inactive,1,1,2,4
16331,1437,1,4508.590903615112,Inactive,1,1,3,5
18571,1437,1,1676.778500235214,Inactive,1,1,2,4
18684,155,3,5831.076592770718,VIP,4,4,4,12
17208,1436,1,2302.131104473519,Inactive,1,1,2,4
15276,529,2,10404.640796332194,VIP,3,4,4,11
12062,1436,1,1422.1688395067292,Inactive,1,1,2,4
10064,1435,1,2959.04768585192,Inactive,1,1,3,5
18006,1435,1,2805.4197330241727,Inactive,1,1,3,5
12568,1435,1,303.9846096164484,Inactive,1,1,1,3
15463,642,3,4338.660217937437,At-Risk,2,4,3,9
12027,1434,1,1433.9558990313335,Inactive,1,1,2,4
12695,1434,1,939.6509188064944,Inactive,1,1,1,3
19687,1434,1,4644.269824334296,Inactive,1,1,3,5
15258,469,2,8918.137534736967,VIP,3,4,4,11
15618,311,2,8645.852555195957,VIP,3,4,4,11
16736,1433,1,2514.774321998773,Inactive,1,1,2,4
10391,1432,1,37.403142304626776,Inactive,1,1,1,3
15892,1432,1,887.8715973479499,Inactive,1,1,1,3
13561,64,3,2849.84261193514,VIP,4,4,3,11
16184,1432,1,1934.5813495522973,Inactive,1,1,2,4
13099,1431,1,5620.66308261513,Inactive,1,1,4,6
16278,1431,1,2053.5344491731607,Inactive,1,1,2,4
18392,555,2,3394.067787724836,VIP,3,4,3,10
13104,389,2,3710.829390216836,VIP,3,4,3,10
17215,1430,1,1113.1686396441407,Inactive,1,1,2,4
12454,575,3,2905.9394128425715,VIP,3,4,3,10
18996,229,3,4928.943758393791,VIP,4,4,4,12
12731,1429,1,1311.597590544943,Inactive,1,1,2,4
18154,1429,1,823.4048835848454,Inactive,1,1,1,3
19762,1193,2,4865.733714587267,At-Risk,1,4,3,8
15056,1428,1,1238.81931790412,Inactive,1,1,2,4
18110,1428,1,4885.813933056575,Inactive,1,1,4,6
13840,1428,1,708.8887986248099,Inactive,1,1,1,3
11028,1427,1,285.72080412617356,Inactive,1,1,1,3
17385,1427,1,4732.6568630666015,Inactive,1,1,3,5
10502,1427,1,1350.4296556788506,Inactive,1,1,2,4
16910,807,2,5012.400070132128,At-Risk,2,4,4,10
19062,151,2,2218.850634568417,Loyal,4,4,2,10
16938,1265,3,6666.356595109346,At-Risk,1,4,4,9
14488,1426,1,2944.4385194299566,Inactive,1,1,3,5
10206,234,2,6951.116735815687,VIP,4,4,4,12
15134,1425,1,703.3601630239991,Inactive,1,1,1,3
15977,1290,2,2256.1779412161163,At-Risk,1,4,2,7
17721,1425,1,1651.1690819355981,Inactive,1,1,2,4
17035,1424,1,3465.400202243999,Inactive,1,1,3,5
11484,1424,1,7504.534205185166,Inactive,1,1,4,6
17858,1424,1,9190.024005442103,Inactive,1,1,4,6
10863,1423,1,3180.762733491149,Inactive,1,1,3,5
12790,1423,1,2176.4917226051557,Inactive,1,1,2,4
17408,1423,1,2003.4132512407405,Inactive,1,1,2,4
18755,1423,1,1137.4580525549907,Inactive,1,1,2,4
15116,1422,1,4022.6815554566247,Inactive,1,1,3,5
16019,785,2,3957.5168924768564,At-Risk,2,4,3,9
11757,474,2,9647.264440802293,VIP,3,4,4,11
17574,865,2,4964.97763085509,At-Risk,2,4,4,10
16374,1421,1,3417.39130710583,Inactive,1,1,3,5
16892,647,2,3399.756189477071,At-Risk,2,4,3,9
11678,237,2,9375.35401909806,VIP,4,4,4,12
13242,1420,1,2813.405881845261,Inactive,1,1,3,5
14636,1420,1,4758.809145980919,Inactive,1,1,3,5
11059,1420,1,954.244458048066,Inactive,1,1,1,3
16668,1419,1,737.7526215577035,Inactive,1,1,1,3
19914,1419,1,95.96044548428824,Inactive,1,1,1,3
13157,1086,2,6961.0559140413625,At-Risk,1,4,4,9
15915,1418,1,4296.265926606719,Inactive,1,1,3,5
19789,1418,1,1576.6441568076368,Inactive,1,1,2,4
12693,1418,1,2561.197600343595,Inactive,1,1,2,4
13627,1284,2,2829.0160369532814,At-Risk,1,4,3,8
15450,59,3,9345.285367463446,VIP,4,4,4,12
11663,1417,1,2487.496715320534,Inactive,1,1,2,4
19721,1416,1,2726.3874651240035,Inactive,1,1,3,5
15592,170,4,5310.426387841992,VIP,4,4,4,12
17392,22,3,5640.018180998751,VIP,4,4,4,12
11306,373,2,7413.865209120782,VIP,3,4,4,11
16776,1415,1,1105.9476143810662,Inactive,1,1,2,4
15864,1415,1,750.0608421774908,Inactive,1,1,1,3
19474,1415,1,1621.4127411922082,Inactive,1,1,2,4
17526,1414,1,9425.673340267454,Inactive,1,1,4,6
18901,99,3,7100.276043029049,VIP,4,4,4,12
15575,538,2,1637.1667159225424,Loyal,3,4,2,9
15530,1413,1,756.879002101658,Inactive,1,1,1,3
14413,1413,1,241.991028009868,Inactive,1,1,1,3
13748,33,4,10075.950952140814,VIP,4,4,4,12
10663,768,2,9691.114015245912,At-Risk,2,4,4,10
11998,622,2,8313.817534378528,VIP,3,4,4,11
17994,1412,1,569.1064312985129,Inactive,1,1,1,3
11495,1412,1,810.3055956362103,Inactive,1,1,1,3
13304,1411,1,6133.064623747365,Inactive,1,1,4,6
13763,1411,1,1302.2573525500457,Inactive,1,1,2,4
15232,243,3,5266.207226252693,VIP,4,4,4,12
11853,1411,1,2573.0119498748263,Inactive,1,1,2,4
16585,1410,1,584.19526125685,Inactive,1,1,1,3
11291,1410,1,147.22182281184342,Inactive,1,1,1,3
