CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,R_Num,F_Num,M_Num,RFM_Numeric,RFM_Score,Segment
17270,1461,1,2079.924646507441,1,1,2,1,1,2,4,112,Inactive
10860,1460,1,490.80104105107716,1,1,1,1,1,1,3,111,Inactive
15390,1012,2,6810.6690667347275,2,4,4,2,4,4,10,244,At-Risk
15191,1460,1,7542.108799557937,1,1,4,1,1,4,6,114,Inactive
15734,1459,1,3192.17907567619,1,1,3,1,1,3,5,113,Inactive
16265,94,2,7592.098490770987,4,4,4,4,4,4,12,444,VIP
10466,1459,1,2151.283055679185,1,1,2,1,1,2,4,112,Inactive
14426,352,3,7959.594287087968,3,4,4,3,4,4,11,344,VIP
15578,62,2,3916.2230217253377,4,4,3,4,4,3,11,443,VIP
18322,1458,1,2959.6203996563913,1,1,3,1,1,3,5,113,Inactive
11685,1458,1,1937.8107431860274,1,1,2,1,1,2,4,112,Inactive
10769,805,3,4899.5780335230975,2,4,4,2,4,4,10,244,At-Risk
16949,1223,3,921.4911835026682,1,4,1,1,4,1,6,141,At-Risk
12433,1002,2,2850.7363962728464,2,4,3,2,4,3,9,243,At-Risk
15311,1456,1,3312.67778400248,1,1,3,1,1,3,5,113,Inactive
15051,883,2,1883.7164827826373,2,4,2,2,4,2,8,242,At-Risk
16420,475,3,5495.261811529999,3,4,4,3,4,4,11,344,VIP
11184,352,3,3297.588932251355,3,4,3,3,4,3,10,343,VIP
14555,960,3,8857.85374293965,2,4,4,2,4,4,10,244,At-Risk
13385,1455,1,4896.075066066967,1,1,4,1,1,4,6,114,Inactive
16396,255,2,9191.853907638617,4,4,4,4,4,4,12,444,VIP
18666,1156,2,7346.02749566033,1,4,4,1,4,4,9,144,At-Risk
19274,976,2,6203.683761777577,2,4,4,2,4,4,10,244,At-Risk
12558,1454,1,4762.655655333516,1,1,3,1,1,3,5,113,Inactive
17849,1453,1,4282.330406855879,1,1,3,1,1,3,5,113,Inactive
12047,1453,1,1237.2930193441728,1,1,2,1,1,2,4,112,Inactive
12747,1453,1,915.4319522559672,1,1,1,1,1,1,3,111,Inactive
19167,1453,1,1576.1277077713228,1,1,2,1,1,2,4,112,Inactive
19998,1452,1,7665.167455690847,1,1,4,1,1,4,6,114,Inactive
10189,1452,1,1784.674312388116,1,1,2,1,1,2,4,112,Inactive
12734,953,2,3528.7267445037405,2,4,3,2,4,3,9,243,At-Risk
13005,314,2,13272.948525130425,3,4,4,3,4,4,11,344,VIP
14658,626,2,5898.0743660755215,3,4,4,3,4,4,11,344,VIP
11899,1451,1,2507.942468154816,1,1,2,1,1,2,4,112,Inactive
17734,1451,1,2723.533354344427,1,1,3,1,1,3,5,113,Inactive
11267,1450,1,728.0003853629842,1,1,1,1,1,1,3,111,Inactive
11528,1450,1,1669.6912998219327,1,1,2,1,1,2,4,112,Inactive
13556,1450,1,847.1355307627341,1,1,1,1,1,1,3,111,Inactive
13890,1449,1,2391.687874578264,1,1,2,1,1,2,4,112,Inactive
18838,1449,1,1064.809137099053,1,1,2,1,1,2,4,112,Inactive
15393,1449,1,3968.3540730430113,1,1,3,1,1,3,5,113,Inactive
18792,452,2,11411.568377492165,3,4,4,3,4,4,11,344,VIP
18433,823,3,3988.13749751072,2,4,3,2,4,3,9,243,At-Risk
17513,1448,1,292.95341258084574,1,1,1,1,1,1,3,111,Inactive
12612,1448,1,5290.750129480533,1,1,4,1,1,4,6,114,Inactive
17041,1199,2,1083.3375356078227,1,4,2,1,4,2,7,142,At-Risk
19555,266,3,6062.29991419472,4,4,4,4,4,4,12,444,VIP
16235,1447,1,2287.7624827496684,1,1,2,1,1,2,4,112,Inactive
15486,1307,2,8921.853562025195,1,4,4,1,4,4,9,144,At-Risk
17099,819,3,2389.8747616257933,2,4,2,2,4,2,8,242,At-Risk
19670,1446,1,973.4664691289955,1,1,2,1,1,2,4,112,Inactive
10775,821,2,3111.9730239729024,2,4,3,2,4,3,9,243,At-Risk
18226,1445,1,1683.957400631299,1,1,2,1,1,2,4,112,Inactive
13152,1445,1,8194.001406038466,1,1,4,1,1,4,6,114,Inactive
11585,1445,1,3053.9090356784423,1,1,3,1,1,3,5,113,Inactive
13943,1444,1,4281.487452455043,1,1,3,1,1,3,5,113,Inactive
17555,1444,1,2889.827651519301,1,1,3,1,1,3,5,113,Inactive
13073,1444,1,332.13288202096226,1,1,1,1,1,1,3,111,Inactive
11021,1444,1,3904.4486166228053,1,1,3,1,1,3,5,113,Inactive
13843,1443,1,381.4153785381568,1,1,1,1,1,1,3,111,Inactive
17989,1443,1,3608.3888679034435,1,1,3,1,1,3,5,113,Inactive
19692,1144,2,6602.482133120422,1,4,4,1,4,4,9,144,At-Risk
16873,1442,1,17.225162354625088,1,1,1,1,1,1,3,111,Inactive
15675,745,2,8121.13411788382,2,4,4,2,4,4,10,244,At-Risk
10161,769,2,3628.558548691139,2,4,3,2,4,3,9,243,At-Risk
14297,1442,1,1998.0451063869375,1,1,2,1,1,2,4,112,Inactive
10995,1441,1,177.47976359886138,1,1,1,1,1,1,3,111,Inactive
17629,861,2,4243.621941655547,2,4,3,2,4,3,9,243,At-Risk
19467,470,2,3120.9351201245336,3,4,3,3,4,3,10,343,VIP
11016,1440,1,4548.482279197112,1,1,3,1,1,3,5,113,Inactive
17869,180,2,3528.923448740156,4,4,3,4,4,3,11,443,VIP
16439,624,2,1760.6671510677588,3,4,2,3,4,2,9,342,Loyal
17892,1439,1,6312.753349291206,1,1,4,1,1,4,6,114,Inactive
16863,1439,1,5132.484473501978,1,1,4,1,1,4,6,114,Inactive
17916,1439,1,2955.4151703382995,1,1,3,1,1,3,5,113,Inactive
18529,1439,1,36.99753346981632,1,1,1,1,1,1,3,111,Inactive
10878,1438,1,1887.0275186264644,1,1,2,1,1,2,4,112,Inactive
19268,1438,1,2960.8266334774266,1,1,3,1,1,3,5,113,Inactive
14887,88,2,11514.272766430006,4,4,4,4,4,4,12,444,VIP
14859,1437,1,1765.9976964331927,1,1,2,1,1,2,4,112,Inactive
16331,1437,1,4508.590903615112,1,1,3,1,1,3,5,113,Inactive
18571,1437,1,1676.778500235214,1,1,2,1,1,2,4,112,Inactive
18684,155,3,5831.076592770718,4,4,4,4,4,4,12,444,VIP
17208,1436,1,2302.131104473519,1,1,2,1,1,2,4,112,Inactive
15276,529,2,10404.640796332194,3,4,4,3,4,4,11,344,VIP
12062,1436,1,1422.1688395067292,1,1,2,1,1,2,4,112,Inactive
10064,1435,1,2959.04768585192,1,1,3,1,1,3,5,113,Inactive
18006,1435,1,2805.4197330241727,1,1,3,1,1,3,5,113,Inactive
12568,1435,1,303.9846096164484,1,1,1,1,1,1,3,111,Inactive
15463,642,3,4338.660217937437,2,4,3,2,4,3,9,243,At-Risk
12027,1434,1,1433.9558990313335,1,1,2,1,1,2,4,112,Inactive
12695,1434,1,939.6509188064944,1,1,1,1,1,1,3,111,Inactive
19687,1434,1,4644.269824334296,1,1,3,1,1,3,5,113,Inactive
15258,469,2,8918.137534736967,3,4,4,3,4,4,11,344,VIP
15618,311,2,8645.852555195957,3,4,4,3,4,4,11,344,VIP
16736,1433,1,2514.774321998773,1,1,2,1,1,2,4,112,Inactive
10391,1432,1,37.403142304626776,1,1,1,1,1,1,3,111,Inactive
15892,1432,1,887.8715973479499,1,1,1,1,1,1,3,111,Inactive
13561,64,3,2849.84261193514,4,4,3,4,4,3,11,443,VIP
16184,1432,1,1934.5813495522973,1,1,2,1,1,2,4,112,Inactive
13099,1431,1,5620.66308261513,1,1,4,1,1,4,6,114,Inactive
16278,1431,1,2053.5344491731607,1,1,2,1,1,2,4,112,Inactive
18392,555,2,3394.067787724836,3,4,3,3,4,3,10,343,VIP
13104,389,2,3710.829390216836,3,4,3,3,4,3,10,343,VIP
17215,1430,1,1113.1686396441407,1,1,2,1,1,2,4,112,Inactive
12454,575,3,2905.9394128425715,3,4,3,3,4,3,10,343,VIP
18996,229,3,4928.943758393791,4,4,4,4,4,4,12,444,VIP
12731,1429,1,1311.597590544943,1,1,2,1,1,2,4,112,Inactive
18154,1429,1,823.4048835848454,1,1,1,1,1,1,3,111,Inactive
19762,1193,2,4865.733714587267,1,4,3,1,4,3,8,143,At-Risk
15056,1428,1,1238.81931790412,1,1,2,1,1,2,4,112,Inactive
18110,1428,1,4885.813933056575,1,1,4,1,1,4,6,114,Inactive
13840,1428,1,708.8887986248099,1,1,1,1,1,1,3,111,Inactive
11028,1427,1,285.72080412617356,1,1,1,1,1,1,3,111,Inactive
17385,1427,1,4732.6568630666015,1,1,3,1,1,3,5,113,Inactive
10502,1427,1,1350.4296556788506,1,1,2,1,1,2,4,112,Inactive
16910,807,2,5012.400070132128,2,4,4,2,4,4,10,244,At-Risk
19062,151,2,2218.850634568417,4,4,2,4,4,2,10,442,Loyal
16938,1265,3,6666.356595109346,1,4,4,1,4,4,9,144,At-Risk
14488,1426,1,2944.4385194299566,1,1,3,1,1,3,5,113,Inactive
10206,234,2,6951.116735815687,4,4,4,4,4,4,12,444,VIP
15134,1425,1,703.3601630239991,1,1,1,1,1,1,3,111,Inactive
15977,1290,2,2256.1779412161163,1,4,2,1,4,2,7,142,At-Risk
17721,1425,1,1651.1690819355981,1,1,2,1,1,2,4,112,Inactive
17035,1424,1,3465.400202243999,1,1,3,1,1,3,5,113,Inactive
11484,1424,1,7504.534205185166,1,1,4,1,1,4,6,114,Inactive
17858,1424,1,9190.024005442103,1,1,4,1,1,4,6,114,Inactive
10863,1423,1,3180.762733491149,1,1,3,1,1,3,5,113,Inactive
12790,1423,1,2176.4917226051557,1,1,2,1,1,2,4,112,Inactive
17408,1423,1,2003.4132512407405,1,1,2,1,1,2,4,112,Inactive
18755,1423,1,1137.4580525549907,1,1,2,1,1,2,4,112,Inactive
15116,1422,1,4022.6815554566247,1,1,3,1,1,3,5,113,Inactive
16019,785,2,3957.5168924768564,2,4,3,2,4,3,9,243,At-Risk
11757,474,2,9647.264440802293,3,4,4,3,4,4,11,344,VIP
17574,865,2,4964.97763085509,2,4,4,2,4,4,10,244,At-Risk
16374,1421,1,3417.39130710583,1,1,3,1,1,3,5,113,Inactive
16892,647,2,3399.756189477071,2,4,3,2,4,3,9,243,At-Risk
11678,237,2,9375.35401909806,4,4,4,4,4,4,12,444,VIP
13242,1420,1,2813.405881845261,1,1,3,1,1,3,5,113,Inactive
14636,1420,1,4758.809145980919,1,1,3,1,1,3,5,113,Inactive
11059,1420,1,954.244458048066,1,1,1,1,1,1,3,111,Inactive
16668,1419,1,737.7526215577035,1,1,1,1,1,1,3,111,Inactive
19914,1419,1,95.96044548428824,1,1,1,1,1,1,3,111,Inactive
13157,1086,2,6961.0559140413625,1,4,4,1,4,4,9,144,At-Risk
15915,1418,1,4296.265926606719,1,1,3,1,1,3,5,113,Inactive
19789,1418,1,1576.6441568076368,1,1,2,1,1,2,4,112,Inactive
12693,1418,1,2561.197600343595,1,1,2,1,1,2,4,112,Inactive
13627,1284,2,2829.0160369532814,1,4,3,1,4,3,8,143,At-Risk
15450,59,3,9345.285367463446,4,4,4,4,4,4,12,444,VIP
11663,1417,1,2487.496715320534,1,1,2,1,1,2,4,112,Inactive
19721,1416,1,2726.3874651240035,1,1,3,1,1,3,5,113,Inactive
15592,170,4,5310.426387841992,4,4,4,4,4,4,12,444,VIP
17392,22,3,5640.018180998751,4,4,4,4,4,4,12,444,VIP
11306,373,2,7413.865209120782,3,4,4,3,4,4,11,344,VIP
16776,1415,1,1105.9476143810662,1,1,2,1,1,2,4,112,Inactive
15864,1415,1,750.0608421774908,1,1,1,1,1,1,3,111,Inactive
19474,1415,1,1621.4127411922082,1,1,2,1,1,2,4,112,Inactive
17526,1414,1,9425.673340267454,1,1,4,1,1,4,6,114,Inactive
18901,99,3,7100.276043029049,4,4,4,4,4,4,12,444,VIP
15575,538,2,1637.1667159225424,3,4,2,3,4,2,9,342,Loyal
15530,1413,1,756.879002101658,1,1,1,1,1,1,3,111,Inactive
14413,1413,1,241.991028009868,1,1,1,1,1,1,3,111,Inactive
13748,33,4,10075.950952140814,4,4,4,4,4,4,12,444,VIP
10663,768,2,9691.114015245912,2,4,4,2,4,4,10,244,At-Risk
11998,622,2,8313.817534378528,3,4,4,3,4,4,11,344,VIP
17994,1412,1,569.1064312985129,1,1,1,1,1,1,3,111,Inactive
11495,1412,1,810.3055956362103,1,1,1,1,1,1,3,111,Inactive
13304,1411,1,6133.064623747365,1,1,4,1,1,4,6,114,Inactive
13763,1411,1,1302.2573525500457,1,1,2,1,1,2,4,112,Inactive
15232,243,3,5266.207226252693,4,4,4,4,4,4,12,444,VIP
11853,1411,1,2573.0119498748263,1,1,2,1,1,2,4,112,Inactive
16585,1410,1,584.19526125685,1,1,1,1,1,1,3,111,Inactive
11291,1410,1,147.22182281184342,1,1,1,1,1,1,3,111,Inactive
13581,1410,1,844.7593299988495,1,1,1,1,1,1,3,111,Inactive
17554,1409,1,3816.5012013935666,1,1,3,1,1,3,5,113,Inactive
17280,1409,1,2367.287167061968,1,1,2,1,1,2,4,112,Inactive
11636,460,2,714.924949756424,3,4,1,3,4,1,8,341,Loyal
13696,450,2,5442.507713365968,3,4,4,3,4,4,11,344,VIP
10698,181,3,8554.669156869755,4,4,4,4,4,4,12,444,VIP
14737,847,2,8457.079305617259,2,4,4,2,4,4,10,244,At-Risk
10854,1408,1,4276.648628032505,1,1,3,1,1,3,5,113,Inactive
18164,1407,1,3683.456466115784,1,1,3,1,1,3,5,113,Inactive
15855,1407,1,148.77732790362526,1,1,1,1,1,1,3,111,Inactive
16528,1406,1,5397.683154450011,1,1,4,1,1,4,6,114,Inactive
15249,880,2,8422.295122543142,2,4,4,2,4,4,10,244,At-Risk
15172,1406,1,380.10946854880854,1,1,1,1,1,1,3,111,Inactive
11707,1406,1,2196.6888966695014,1,1,2,1,1,2,4,112,Inactive
15791,996,2,8834.654593995485,2,4,4,2,4,4,10,244,At-Risk
19925,1405,1,375.16280129378583,1,1,1,1,1,1,3,111,Inactive
15535,1405,1,150.2755284427037,1,1,1,1,1,1,3,111,Inactive
14931,589,2,6750.568573115819,3,4,4,3,4,4,11,344,VIP
13510,1404,1,5421.553801025473,1,1,4,1,1,4,6,114,Inactive
10202,1404,1,3583.512125601761,1,1,3,1,1,3,5,113,Inactive
14218,1404,1,252.90808633744615,1,1,1,1,1,1,3,111,Inactive
18958,1403,1,678.2132513506472,1,1,1,1,1,1,3,111,Inactive
14389,1403,1,5423.59935078003,1,1,4,1,1,4,6,114,Inactive
12327,1371,2,3013.60070447793,1,4,3,1,4,3,8,143,At-Risk
18004,702,2,13799.465733887611,2,4,4,2,4,4,10,244,At-Risk
12931,67,2,3747.952321360688,4,4,3,4,4,3,11,443,VIP
17777,1402,1,215.74521191220018,1,1,1,1,1,1,3,111,Inactive
10197,1402,1,358.62107489416877,1,1,1,1,1,1,3,111,Inactive
17125,1401,1,1324.3183853159637,1,1,2,1,1,2,4,112,Inactive
11930,1401,1,1313.5094860356492,1,1,2,1,1,2,4,112,Inactive
16287,1392,2,6248.573066887351,1,4,4,1,4,4,9,144,At-Risk
18800,843,2,4459.4867858736125,2,4,3,2,4,3,9,243,At-Risk
19339,1400,1,2294.3355746640773,1,1,2,1,1,2,4,112,Inactive
14282,29,2,3471.8116505043463,4,4,3,4,4,3,11,443,VIP
12511,1399,1,3982.8898810510273,1,1,3,1,1,3,5,113,Inactive
19986,1399,1,1439.0822416705441,1,1,2,1,1,2,4,112,Inactive
10659,762,2,6999.713059776046,2,4,4,2,4,4,10,244,At-Risk
12811,1399,1,550.7150341846632,1,1,1,1,1,1,3,111,Inactive
17098,1398,1,2082.5242616463406,1,1,2,1,1,2,4,112,Inactive
16546,1398,1,2967.973549759141,1,1,3,1,1,3,5,113,Inactive
19561,1344,2,5613.524947048088,1,4,4,1,4,4,9,144,At-Risk
11986,1397,1,95.57055189047773,1,1,1,1,1,1,3,111,Inactive
18338,1397,1,5237.633645538147,1,1,4,1,1,4,6,114,Inactive
12911,1397,1,2080.4811729430157,1,1,2,1,1,2,4,112,Inactive
11734,1397,1,2494.042101898197,1,1,2,1,1,2,4,112,Inactive
11843,1396,1,6574.144893386784,1,1,4,1,1,4,6,114,Inactive
18680,490,3,6885.511374466549,3,4,4,3,4,4,11,344,VIP
12976,1396,1,3277.2199108529317,1,1,3,1,1,3,5,113,Inactive
11959,1395,1,5921.616255399537,1,1,4,1,1,4,6,114,Inactive
15759,1395,1,2398.0517883262037,1,1,2,1,1,2,4,112,Inactive
16694,1395,1,2981.129208576653,1,1,3,1,1,3,5,113,Inactive
12385,832,2,2472.6047904584343,2,4,2,2,4,2,8,242,At-Risk
14736,1394,1,1259.1739133429382,1,1,2,1,1,2,4,112,Inactive
11802,1394,1,1948.7100790047189,1,1,2,1,1,2,4,112,Inactive
18155,459,2,4316.731989375373,3,4,3,3,4,3,10,343,VIP
18120,436,3,16092.710678295853,3,4,4,3,4,4,11,344,VIP
16616,1393,1,6569.672938747244,1,1,4,1,1,4,6,114,Inactive
15534,1393,1,467.00759539142075,1,1,1,1,1,1,3,111,Inactive
14061,1392,1,268.957094113503,1,1,1,1,1,1,3,111,Inactive
10262,1392,1,5859.62203483233,1,1,4,1,1,4,6,114,Inactive
18815,1392,1,3670.1500170549,1,1,3,1,1,3,5,113,Inactive
19208,64,4,10905.187519285393,4,4,4,4,4,4,12,444,VIP
12049,1391,1,64.60502469576761,1,1,1,1,1,1,3,111,Inactive
15423,518,2,9218.041553847599,3,4,4,3,4,4,11,344,VIP
14548,1390,1,33.124291562910734,1,1,1,1,1,1,3,111,Inactive
13108,1390,1,1867.4896471903621,1,1,2,1,1,2,4,112,Inactive
17158,1390,1,4976.580480370302,1,1,4,1,1,4,6,114,Inactive
17400,1310,2,5734.083803564232,1,4,4,1,4,4,9,144,At-Risk
13170,586,3,3798.342048098202,3,4,3,3,4,3,10,343,VIP
19874,1346,2,55.36136153852388,1,4,1,1,4,1,6,141,At-Risk
12255,1012,2,1700.5138116854578,2,4,2,2,4,2,8,242,At-Risk
11154,1388,1,3509.9331693296454,1,1,3,1,1,3,5,113,Inactive
